species,stage,influent_24h_avg,stage_24h_avg,removal_percent
BOD,EQ,133.29083793140126,135.1811762274472,-1.4182057262021348
BOD,MBR,133.29083793140126,36.51283016033658,72.60664669305471
BOD,AOP,133.29083793140126,30.82020661772939,76.87747552942
BOD,OUT,133.29083793140126,30.82020661772939,76.87747552942
COD,EQ,389.52256274365914,394.2309135388489,-1.2087491831091342
COD,MBR,389.52256274365914,207.86571699009332,46.63576981883649
COD,AOP,389.52256274365914,157.83373394298783,59.480207556845265
COD,OUT,389.52256274365914,79.7200395323911,79.53390967371149
TOC,EQ,75.76024911632354,76.8208732825725,-1.3999744966789522
TOC,MBR,75.76024911632354,42.836508527381,43.457804023836935
TOC,AOP,75.76024911632354,33.21997602528404,56.15117899853056
TOC,OUT,75.76024911632354,0.43465361116001827,99.42627747898156
NH4,EQ,15.735866719095885,15.952561173720131,-1.3770735256754674
NH4,MBR,15.735866719095885,9.91230789236545,37.0081860166202
NH4,AOP,15.735866719095885,9.91230789236545,37.0081860166202
NH4,OUT,15.735866719095885,9.91230789236545,37.0081860166202
NO3,EQ,3.938919695771462,3.989743957404786,-1.2903096675945211
NO3,MBR,3.938919695771462,7.596720679573661,-92.86305043814293
NO3,AOP,3.938919695771462,7.596720679573661,-92.86305043814293
NO3,OUT,3.938919695771462,7.596720679573661,-92.86305043814293
PO4,EQ,3.8489714226608553,3.89754044540434,-1.261870183226977
PO4,MBR,3.8489714226608553,2.7939463950709715,27.410570558628056
PO4,AOP,3.8489714226608553,2.7939463950709715,27.410570558628056
PO4,OUT,3.8489714226608553,2.7939463950709715,27.410570558628056
SS,EQ,232.06445523654065,235.54186154736104,-1.4984657203430418
SS,MBR,232.06445523654065,27.779523109566735,88.02939335054506
SS,AOP,232.06445523654065,27.779523109566735,88.02939335054506
SS,OUT,232.06445523654065,27.779523109566735,88.02939335054506
Phenol,EQ,0.22093754560681814,0.2251695703679376,-1.9154846449914005
Phenol,MBR,0.22093754560681814,0.1394559739110028,36.87991168364857
Phenol,AOP,0.22093754560681814,0.07926317303907839,64.12417236673043
Phenol,OUT,0.22093754560681814,1.3092656273759132e-09,99.99999940740464
Formaldehyde,EQ,0.08873440591731713,0.0902319178321624,-1.687633899572912
Formaldehyde,MBR,0.08873440591731713,0.04741270382076884,46.56784667612687
Formaldehyde,AOP,0.08873440591731713,0.031036326729710233,65.02334533165192
Formaldehyde,OUT,0.08873440591731713,0.031036326729710233,65.02334533165192
Glutaraldehyde,EQ,0.3110712522917885,0.317223632662006,-1.9778042248810814
Glutaraldehyde,MBR,0.3110712522917885,0.21132206401412232,32.066347353788984
Glutaraldehyde,AOP,0.3110712522917885,0.14229478771324133,54.256529118361875
Glutaraldehyde,OUT,0.3110712522917885,0.14229478771324133,54.256529118361875
Detergent,EQ,0.40104002751058,0.40737238908036155,-1.5789849230484874
Detergent,MBR,0.40104002751058,0.28164906466559747,29.77033579069182
Detergent,AOP,0.40104002751058,0.23773805826434125,40.719618502901334
Detergent,OUT,0.40104002751058,0.002978890618943273,99.25720865385071
Oils,EQ,3.1120141986650998,3.1558939873104612,-1.4100124820826243
Oils,MBR,3.1120141986650998,1.4053055848615765,54.842571558176594
Oils,AOP,3.1120141986650998,1.2201953025301775,60.790818272822115
Oils,OUT,3.1120141986650998,1.2201953025301775,60.790818272822115
Pb,EQ,0.04376840634749606,0.04435338216396357,-1.3365252822392788
Pb,MBR,0.04376840634749606,0.03965856872241965,9.389964058656048
Pb,AOP,0.04376840634749606,0.03965856872241965,9.389964058656048
Pb,OUT,0.04376840634749606,0.03965856872241965,9.389964058656048
CBZ,EQ,0.0017508400599997255,0.0017846652923936847,-1.9319430236228743
CBZ,MBR,0.0017508400599997255,0.0016547006492416533,5.491044725015444
CBZ,AOP,0.0017508400599997255,0.0009142943967905002,47.77967344483519
CBZ,OUT,0.0017508400599997255,5.730775229568669e-11,99.99999672684253
DCF,EQ,0.0013067736582791218,0.0013324724049881419,-1.9665797933869111
DCF,MBR,0.0013067736582791218,0.0010509627232904754,19.575764583862323
DCF,AOP,0.0013067736582791218,0.0006501698429060653,50.24617776866822
DCF,OUT,0.0013067736582791218,7.419026794214746e-12,99.99999943226382
